ResponseID,Gender,Role,CompanySize,Industry,Region,AIStage,YearsExperience,Efficiency_1,Efficiency_2,Efficiency_3,Efficiency_4,Efficiency_5,Efficiency_6,Efficiency_7,Experience_1,Experience_2,Experience_3,Experience_4,Experience_5,Experience_6,Experience_7,Fairness_1,Fairness_2,Fairness_3,Fairness_4,Fairness_5,Fairness_6,Fairness_7,Trust_1,Trust_2,Trust_3,Trust_4,Trust_5,Trust_6,Trust_7
R0001,Female,Managerial,SME (<500),Financial Services,Europe,Full Deployment,25,5,4,3,3,4,4,4,4,2,3,3,3,3,4,4,2,3,4,3,4,3,2,2,3,2,3,3,3
R0002,Female,Operational,Large (>500),Other,North Africa,Early Exploration,21,4,3,4,4,3,3,5,3,4,3,2,4,4,4,2,2,3,3,2,2,3,4,2,5,2,2,2,4
R0003,Female,Managerial,Large (>500),Manufacturing,North Africa,Pilot,4,4,5,4,3,3,3,4,3,3,4,3,3,2,3,2,3,4,3,3,3,4,3,3,2,3,3,4,2
R0004,Female,Managerial,SME (<500),Manufacturing,Europe,Pilot,15,4,4,3,3,5,3,3,3,2,2,3,3,3,4,5,2,4,2,2,3,1,5,3,2,3,4,4,3
R0005,Female,Managerial,Large (>500),Logistics,Gulf,Full Deployment,10,3,3,5,3,4,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,2,3,2,4,1,2
R0006,Male,Managerial,SME (<500),Logistics,Europe,Full Deployment,5,3,3,2,4,5,4,3,3,3,2,4,4,3,3,3,4,3,3,4,1,4,3,2,2,4,3,3,3
R0007,Male,Managerial,SME (<500),Technology,Europe,Pilot,2,4,4,4,3,2,4,4,3,3,3,3,5,3,3,3,3,2,2,3,2,3,2,3,4,2,2,4,4
R0008,Female,Managerial,Large (>500),Logistics,Gulf,Early Exploration,20,2,3,4,5,4,4,3,3,3,4,4,4,5,3,3,3,3,5,4,2,3,3,3,1,1,1,2,2
R0009,Male,Managerial,Large (>500),Manufacturing,Europe,Full Deployment,25,3,3,3,3,4,5,4,4,5,3,4,4,3,3,3,2,3,4,2,3,3,2,4,1,1,2,2,2
R0010,Female,Managerial,SME (<500),Manufacturing,Europe,Pilot,8,3,3,3,4,5,2,4,2,3,4,4,3,3,4,4,2,2,4,3,2,4,4,2,3,2,3,3,2
R0011,Female,Managerial,Large (>500),Financial Services,North Africa,Pilot,10,5,2,3,5,2,5,2,3,5,5,4,5,3,4,2,3,2,4,2,3,2,2,2,2,4,2,2,1
R0012,Female,Operational,SME (<500),Technology,Gulf,Pilot,21,3,5,4,3,3,4,3,4,4,4,4,3,4,3,3,4,4,3,2,3,2,2,2,3,1,3,3,2
R0013,Female,Operational,SME (<500),Technology,Europe,Early Exploration,11,4,4,4,4,2,4,4,4,3,3,3,3,3,4,4,3,3,2,2,3,4,2,3,3,3,2,3,1
R0014,Male,Operational,SME (<500),Other,North Africa,Full Deployment,25,4,3,4,2,3,5,3,3,2,4,3,4,4,3,3,4,3,3,2,3,3,3,3,2,3,1,4,3
R0015,Male,Operational,Large (>500),Manufacturing,North Africa,Pilot,15,3,3,4,2,3,4,3,3,3,2,3,2,5,2,1,2,2,2,4,3,3,2,2,3,2,3,3,2
R0016,Male,Operational,Large (>500),Logistics,Europe,Early Exploration,19,5,4,4,4,4,4,4,3,4,3,3,4,5,5,2,3,2,4,4,3,3,2,2,4,4,2,3,2
R0017,Female,Managerial,Large (>500),Technology,Gulf,Pilot,23,3,3,5,3,3,4,3,4,3,5,4,3,4,3,4,2,2,3,4,3,3,1,1,3,2,2,4,1
R0018,Female,Operational,SME (<500),Financial Services,North Africa,Early Exploration,21,3,3,3,4,3,4,4,4,2,3,3,3,4,4,2,4,3,4,3,2,4,3,2,3,2,2,2,2
R0019,Male,Operational,SME (<500),Manufacturing,North Africa,Pilot,9,4,4,4,4,4,3,4,4,3,1,3,3,4,4,3,3,4,3,3,5,2,2,4,4,1,3,2,2
R0020,Male,Operational,Large (>500),Technology,North Africa,Pilot,5,4,3,4,4,4,4,3,3,4,3,3,2,4,3,2,3,1,4,4,3,2,2,2,1,3,3,2,2
R0021,Female,Managerial,Large (>500),Technology,North Africa,Pilot,24,3,3,4,5,3,3,3,2,4,2,2,2,3,4,2,1,3,3,3,4,3,1,2,3,2,1,3,2
R0022,Male,Operational,Large (>500),Other,Europe,Pilot,25,3,4,5,5,4,3,5,2,3,3,5,4,2,4,3,3,2,2,3,3,2,3,2,1,2,4,2,5
R0023,Female,Operational,Large (>500),Manufacturing,North Africa,Pilot,5,4,3,2,3,3,3,3,4,3,4,3,2,4,4,4,2,3,2,4,3,3,3,1,2,5,4,3,2
R0024,Female,Managerial,SME (<500),Manufacturing,Gulf,Early Exploration,10,3,4,3,4,4,4,3,3,4,4,4,2,3,4,3,3,3,1,2,2,4,2,2,3,3,2,4,2
R0025,Female,Operational,Large (>500),Logistics,Europe,Pilot,25,2,4,2,5,4,3,5,5,5,5,3,4,4,3,3,3,4,4,3,3,3,2,2,2,3,3,2,1
R0026,Male,Operational,Large (>500),Other,Europe,Full Deployment,22,3,3,4,4,5,3,4,3,4,4,4,3,4,4,2,3,2,4,3,3,2,2,2,1,2,2,2,2
R0027,Female,Operational,SME (<500),Other,Europe,Full Deployment,16,5,3,3,5,3,3,3,5,4,3,3,4,3,4,5,3,3,3,4,2,5,2,2,1,4,2,3,4
R0028,Female,Managerial,SME (<500),Financial Services,Gulf,Full Deployment,22,3,3,3,4,4,3,3,5,4,4,1,3,2,3,3,2,3,2,3,2,3,3,3,2,4,2,2,1
R0029,Male,Managerial,SME (<500),Technology,North Africa,Early Exploration,5,3,4,3,3,4,2,4,4,5,4,2,3,3,4,4,1,3,4,4,5,3,3,4,4,3,3,2,1
R0030,Male,Managerial,SME (<500),Technology,North Africa,Early Exploration,15,4,3,3,3,3,4,2,5,2,5,3,3,3,5,4,2,3,3,1,1,4,3,4,2,3,4,1,2
R0031,Female,Operational,Large (>500),Other,Europe,Pilot,6,4,4,4,3,4,3,3,4,3,3,3,4,3,4,4,3,2,4,2,3,2,1,4,2,2,4,5,3
R0032,Male,Operational,Large (>500),Logistics,Gulf,Pilot,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,2,1,1,2,1,4,1,3,1,3,2,3,2,5
R0033,Male,Managerial,Large (>500),Technology,Europe,Pilot,5,4,3,4,4,4,3,3,3,5,2,2,4,4,4,3,3,2,3,1,3,2,3,3,3,3,3,1,2
R0034,Female,Operational,Large (>500),Financial Services,North Africa,Early Exploration,11,4,3,4,4,3,3,4,1,4,4,3,4,4,4,2,5,1,2,4,4,3,3,2,3,2,2,3,4
R0035,Male,Operational,Large (>500),Manufacturing,Gulf,Early Exploration,20,3,4,4,4,4,4,3,4,4,4,3,3,3,3,2,4,1,3,3,3,3,2,5,3,3,2,1,2
R0036,Male,Operational,Large (>500),Logistics,Europe,Pilot,7,4,3,4,2,5,4,4,4,3,3,3,4,3,4,2,3,1,3,2,4,4,1,3,3,3,4,3,1
R0037,Female,Operational,SME (<500),Other,Gulf,Pilot,23,4,3,3,3,4,3,4,4,3,4,3,4,3,3,3,3,3,3,4,2,2,2,1,3,3,1,1,3
R0038,Female,Operational,SME (<500),Other,Europe,Full Deployment,16,5,5,3,5,3,4,4,4,3,4,4,4,3,4,2,4,3,2,3,3,3,2,2,1,4,1,2,4
R0039,Female,Operational,SME (<500),Logistics,Europe,Early Exploration,24,4,3,3,4,4,3,4,2,3,3,3,3,3,4,3,3,4,3,3,3,4,3,4,3,3,1,3,3
R0040,Female,Operational,Large (>500),Financial Services,Europe,Early Exploration,21,4,3,3,4,3,3,3,4,3,3,3,3,4,3,3,2,5,2,2,3,2,3,4,2,3,2,2,4
R0041,Male,Managerial,Large (>500),Manufacturing,Europe,Full Deployment,10,3,4,4,3,5,3,5,2,3,4,3,4,4,4,3,3,3,2,3,3,4,2,3,1,1,3,3,2
R0042,Female,Managerial,SME (<500),Technology,North Africa,Full Deployment,11,4,4,3,3,5,4,3,3,3,3,3,3,4,3,2,3,2,2,1,5,1,2,2,2,3,2,2,3
R0043,Female,Operational,Large (>500),Manufacturing,Europe,Early Exploration,23,3,3,4,3,4,4,4,3,4,3,3,2,3,3,3,2,3,3,3,3,4,2,4,2,2,4,3,3
R0044,Female,Operational,SME (<500),Technology,North Africa,Pilot,14,4,2,2,5,3,4,4,3,4,2,4,4,4,3,3,3,3,2,2,2,3,2,4,3,1,5,2,5
R0045,Female,Managerial,SME (<500),Manufacturing,Gulf,Early Exploration,23,4,4,4,3,3,4,4,4,2,5,4,3,3,4,3,3,3,4,3,4,3,2,3,4,3,2,3,1
R0046,Female,Operational,SME (<500),Financial Services,Europe,Full Deployment,4,2,4,3,4,3,2,3,4,4,4,4,2,3,2,2,2,2,3,3,3,3,2,2,2,3,1,2,2
R0047,Male,Operational,SME (<500),Other,North Africa,Pilot,20,5,4,3,3,3,3,4,2,3,3,4,3,4,3,3,3,3,4,3,2,5,2,3,2,2,2,3,3
R0048,Female,Managerial,Large (>500),Financial Services,Gulf,Early Exploration,25,4,3,4,4,4,3,5,3,3,4,2,3,5,4,2,3,3,4,3,2,2,3,3,3,2,3,4,4
R0049,Male,Operational,SME (<500),Financial Services,North Africa,Early Exploration,19,4,4,4,4,4,4,5,3,2,4,4,3,4,3,3,3,4,3,4,2,4,3,2,3,2,2,2,4
R0050,Male,Operational,Large (>500),Technology,North Africa,Full Deployment,10,3,2,3,4,3,3,3,3,2,3,3,5,3,3,4,3,3,2,4,2,3,4,2,2,3,3,1,3
R0051,Female,Operational,SME (<500),Financial Services,North Africa,Early Exploration,25,4,3,3,4,3,4,3,3,3,4,3,4,5,2,2,2,3,4,4,3,3,3,1,3,2,1,1,4
R0052,Female,Managerial,Large (>500),Financial Services,Europe,Pilot,12,3,4,4,4,3,3,4,2,3,3,1,2,3,3,4,3,2,3,2,1,2,1,2,4,3,2,2,5
R0053,Male,Operational,Large (>500),Logistics,North Africa,Pilot,13,2,3,4,3,3,3,4,3,3,4,3,4,4,3,4,2,3,2,3,2,2,2,4,3,2,3,3,2
R0054,Female,Managerial,Large (>500),Logistics,North Africa,Early Exploration,17,5,4,4,4,4,3,5,3,3,3,4,3,2,2,4,4,2,3,5,2,4,4,3,4,3,2,1,3
R0055,Male,Managerial,Large (>500),Manufacturing,Gulf,Early Exploration,5,4,3,3,4,2,3,4,4,3,5,3,4,3,2,4,3,3,4,3,4,2,2,2,3,2,3,4,2
R0056,Female,Managerial,SME (<500),Logistics,Europe,Pilot,10,4,3,4,4,3,3,4,4,3,4,2,3,3,3,4,4,3,4,3,3,4,4,2,2,1,2,1,2
R0057,Female,Managerial,Large (>500),Other,North Africa,Early Exploration,24,3,5,5,4,4,3,3,3,4,3,3,2,2,3,3,3,4,4,2,2,3,2,3,3,3,2,3,3
R0058,Female,Managerial,Large (>500),Logistics,Europe,Pilot,15,4,4,3,3,4,3,4,3,4,3,5,4,4,3,3,3,4,3,5,5,4,1,3,2,2,1,2,3
R0059,Male,Operational,Large (>500),Manufacturing,Europe,Early Exploration,5,5,4,2,3,4,3,4,4,2,4,4,3,4,4,1,3,3,2,4,3,4,2,1,2,3,2,4,1
R0060,Female,Operational,SME (<500),Manufacturing,Europe,Early Exploration,20,5,3,3,3,2,4,5,3,4,3,3,4,2,4,1,3,2,4,4,1,1,2,2,2,2,3,1,1
R0061,Male,Managerial,Large (>500),Technology,North Africa,Pilot,23,3,4,5,4,3,3,4,4,4,3,4,3,4,4,3,1,4,2,3,2,3,3,2,3,2,2,1,4
R0062,Male,Managerial,SME (<500),Manufacturing,Europe,Pilot,12,3,4,4,4,4,5,3,3,4,4,2,4,2,3,3,2,4,1,2,2,4,4,3,4,1,3,1,2
R0063,Female,Managerial,Large (>500),Technology,Europe,Pilot,6,4,3,4,4,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,2,4,1,3,3,3,3,1,2
R0064,Male,Operational,Large (>500),Manufacturing,North Africa,Pilot,20,4,5,3,5,5,5,4,3,3,4,2,4,3,3,4,2,2,5,5,3,3,2,4,2,2,2,4,2
R0065,Male,Managerial,Large (>500),Manufacturing,Europe,Full Deployment,20,4,5,4,2,3,4,2,3,3,3,2,4,4,2,4,4,3,3,3,3,2,2,1,1,2,4,3,1
R0066,Female,Operational,SME (<500),Logistics,Europe,Early Exploration,20,3,3,3,3,4,3,4,4,3,2,3,4,4,3,2,3,3,3,2,3,3,3,2,3,2,2,2,3
R0067,Male,Managerial,Large (>500),Other,Gulf,Full Deployment,23,3,4,3,4,4,4,3,4,4,4,3,4,3,3,4,3,4,3,2,2,3,3,3,1,3,2,1,5
R0068,Female,Operational,SME (<500),Financial Services,North Africa,Pilot,11,4,3,5,3,3,4,4,3,4,3,4,3,3,3,3,1,3,4,3,3,4,1,2,2,2,3,3,3
R0069,Male,Managerial,SME (<500),Other,North Africa,Early Exploration,14,2,3,4,3,5,4,3,2,2,2,4,4,3,3,2,2,2,2,4,3,3,2,3,3,2,1,2,2
R0070,Male,Operational,SME (<500),Other,Gulf,Early Exploration,6,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,2,2,4,4,4,2,1,4,5,2,3,3,3
R0071,Male,Managerial,SME (<500),Financial Services,Europe,Early Exploration,23,3,4,3,3,3,3,3,3,3,2,4,3,4,3,2,4,3,5,2,3,2,2,2,2,3,1,3,1
R0072,Male,Managerial,Large (>500),Manufacturing,Europe,Full Deployment,11,4,4,4,4,3,3,3,4,2,3,4,3,4,4,4,4,2,2,4,3,3,3,1,2,2,3,2,1
R0073,Female,Managerial,Large (>500),Financial Services,North Africa,Full Deployment,10,4,4,4,3,4,3,3,3,3,4,4,3,3,2,2,3,2,4,3,2,3,2,2,4,4,3,4,4
R0074,Female,Operational,SME (<500),Financial Services,Gulf,Full Deployment,8,4,2,3,3,3,3,4,3,2,3,2,3,4,3,3,2,4,3,2,2,3,3,2,3,3,2,3,3
R0075,Male,Operational,SME (<500),Technology,Gulf,Full Deployment,14,3,4,4,3,4,3,5,3,3,2,2,4,3,4,2,3,2,3,3,5,2,4,1,2,2,4,3,3
R0076,Male,Managerial,Large (>500),Financial Services,North Africa,Pilot,2,4,4,5,4,4,3,5,2,4,4,4,4,3,3,2,2,3,2,3,3,3,3,2,2,2,3,2,3
R0077,Male,Managerial,SME (<500),Technology,Europe,Pilot,4,4,3,3,5,4,5,4,3,4,3,3,3,3,3,3,2,3,4,2,1,3,3,2,1,1,4,2,3
R0078,Male,Managerial,Large (>500),Other,Gulf,Early Exploration,25,3,3,3,2,3,3,3,3,3,3,5,4,4,3,4,4,2,2,5,3,3,2,3,2,2,4,3,1
R0079,Female,Managerial,Large (>500),Technology,North Africa,Full Deployment,3,5,3,3,4,3,2,3,4,3,3,4,4,5,4,3,3,2,4,3,2,2,2,1,3,3,3,3,2
R0080,Female,Operational,Large (>500),Technology,Europe,Early Exploration,6,3,3,4,3,4,3,4,4,3,3,4,3,5,4,3,3,3,2,4,3,2,3,2,2,2,3,1,2
R0081,Female,Managerial,Large (>500),Technology,Europe,Full Deployment,17,3,5,4,5,5,4,3,2,3,4,4,3,4,3,4,4,4,3,3,3,1,4,4,1,2,3,2,3
R0082,Male,Operational,Large (>500),Logistics,North Africa,Early Exploration,17,5,4,4,3,4,3,4,3,2,3,3,3,3,4,2,4,3,3,4,3,5,2,3,3,3,3,3,2
R0083,Male,Operational,Large (>500),Other,Europe,Early Exploration,6,3,3,3,3,3,3,3,5,4,3,4,3,3,4,3,3,3,2,4,4,3,3,1,4,1,3,3,2
R0084,Male,Managerial,Large (>500),Manufacturing,Europe,Full Deployment,24,4,4,3,4,3,5,4,4,2,4,3,4,4,3,5,3,3,3,3,2,2,1,2,2,3,2,4,3
R0085,Male,Managerial,Large (>500),Manufacturing,Europe,Full Deployment,16,5,4,3,4,3,4,3,4,4,3,3,4,3,3,2,2,4,2,4,3,2,3,3,2,4,2,3,3
R0086,Male,Operational,SME (<500),Manufacturing,Gulf,Early Exploration,12,3,4,3,4,5,3,5,4,2,3,5,3,4,4,3,5,3,3,4,3,4,1,1,4,3,2,1,2
R0087,Male,Managerial,SME (<500),Other,Gulf,Full Deployment,20,5,3,4,2,3,4,4,3,3,3,3,3,2,3,3,3,3,1,3,3,3,2,3,3,2,3,2,1
R0088,Female,Operational,SME (<500),Manufacturing,Europe,Full Deployment,25,5,3,5,3,4,5,3,2,3,3,3,3,3,4,4,4,5,2,1,5,3,2,1,1,3,2,1,2
R0089,Female,Operational,Large (>500),Financial Services,North Africa,Pilot,7,2,2,4,3,4,3,4,3,3,3,4,2,4,4,2,3,1,4,2,4,4,1,1,2,3,3,3,2
R0090,Female,Operational,SME (<500),Technology,Europe,Pilot,7,4,3,5,4,4,4,5,3,3,3,3,3,3,3,2,5,2,4,4,2,3,2,3,3,1,2,3,2
R0091,Female,Operational,SME (<500),Financial Services,Europe,Full Deployment,8,4,4,5,4,3,4,3,3,4,4,4,5,3,4,3,4,3,4,4,3,3,2,2,3,4,2,1,2
R0092,Male,Operational,Large (>500),Logistics,North Africa,Full Deployment,14,5,3,2,4,4,3,3,3,3,3,5,3,4,3,1,4,1,4,2,2,3,5,3,2,2,3,2,3
R0093,Male,Managerial,SME (<500),Technology,North Africa,Full Deployment,6,3,3,4,4,5,4,4,2,4,2,3,4,3,3,3,4,2,2,2,3,4,1,3,3,2,3,2,4
R0094,Male,Operational,SME (<500),Technology,Europe,Full Deployment,11,4,4,4,3,3,4,4,4,4,2,3,2,4,3,3,4,2,3,4,1,3,3,3,1,2,3,4,2
R0095,Male,Operational,SME (<500),Other,North Africa,Early Exploration,5,3,3,3,4,4,3,3,3,4,3,4,3,4,3,4,2,3,4,3,4,2,2,4,1,2,1,3,3
R0096,Female,Managerial,SME (<500),Other,North Africa,Early Exploration,24,3,3,3,4,4,4,3,2,3,4,2,3,4,3,2,2,3,3,5,4,2,1,2,4,3,2,3,4
R0097,Female,Operational,SME (<500),Financial Services,Gulf,Full Deployment,22,3,4,4,3,4,3,5,3,3,4,3,2,2,4,2,3,4,4,2,3,1,3,2,1,4,1,4,2
R0098,Female,Operational,Large (>500),Manufacturing,North Africa,Pilot,13,4,4,4,3,4,3,4,3,4,3,4,3,3,4,3,3,3,4,1,2,2,3,2,1,1,3,3,4
R0099,Female,Operational,SME (<500),Financial Services,Europe,Early Exploration,7,2,4,4,4,3,3,4,3,4,3,3,3,3,5,3,4,2,2,3,2,4,3,2,2,3,2,2,4
R0100,Male,Operational,Large (>500),Manufacturing,North Africa,Pilot,8,4,5,4,3,4,5,4,4,3,3,3,2,3,4,3,2,3,3,4,4,3,3,2,3,2,4,3,4
R0101,Female,Operational,SME (<500),Technology,Gulf,Early Exploration,10,3,3,2,4,3,4,3,5,2,3,4,2,4,3,2,3,1,2,3,2,3,3,3,3,1,2,4,2
R0102,Female,Managerial,SME (<500),Financial Services,North Africa,Pilot,10,3,4,4,4,3,5,3,4,4,4,5,4,3,3,2,4,2,2,4,4,3,3,3,2,1,4,3,1
R0103,Female,Managerial,Large (>500),Technology,Europe,Full Deployment,15,4,3,3,3,3,3,3,2,4,3,4,3,2,3,3,3,3,3,4,2,3,1,3,5,3,2,2,1
R0104,Male,Managerial,SME (<500),Manufacturing,Gulf,Early Exploration,22,3,4,2,3,5,4,4,5,4,2,4,4,3,5,4,3,2,2,3,4,3,1,3,2,3,3,2,2
R0105,Male,Managerial,Large (>500),Technology,Gulf,Early Exploration,22,3,4,4,5,4,3,4,4,2,4,3,3,3,2,4,4,3,4,4,1,3,4,2,2,3,3,2,1
R0106,Female,Operational,Large (>500),Financial Services,Europe,Pilot,8,2,4,4,3,2,4,4,3,3,3,2,2,4,4,3,3,4,2,2,3,3,2,1,2,3,3,1,1
R0107,Male,Operational,Large (>500),Manufacturing,North Africa,Pilot,11,3,4,3,4,4,3,3,2,3,2,3,3,3,3,2,4,4,3,4,3,3,2,3,3,1,3,2,2
R0108,Male,Operational,Large (>500),Other,Europe,Full Deployment,14,4,4,4,5,4,4,4,5,3,3,3,3,4,3,4,2,4,2,2,3,3,1,2,4,3,2,5,2
R0109,Male,Managerial,Large (>500),Manufacturing,Europe,Early Exploration,16,4,2,3,3,4,3,3,3,4,3,4,4,4,4,2,3,2,3,4,4,3,3,2,2,3,3,5,3
R0110,Male,Operational,SME (<500),Technology,Gulf,Pilot,18,4,4,4,4,3,4,4,4,4,4,3,4,3,2,5,3,3,3,2,2,4,2,1,1,2,2,4,1
R0111,Male,Operational,SME (<500),Technology,Gulf,Pilot,18,4,3,5,4,4,4,4,3,4,3,4,3,3,2,4,2,4,4,2,1,3,1,4,2,3,3,2,3
R0112,Female,Managerial,SME (<500),Other,Europe,Early Exploration,9,4,3,3,4,3,4,4,3,3,3,3,3,4,3,2,3,2,2,3,5,2,4,3,3,3,4,3,1
R0113,Male,Managerial,SME (<500),Manufacturing,Europe,Early Exploration,19,4,4,3,3,3,4,4,5,3,3,5,3,4,4,2,2,4,4,3,3,3,1,1,2,4,3,2,3
R0114,Male,Operational,SME (<500),Financial Services,Gulf,Early Exploration,9,4,4,4,3,3,4,3,4,3,3,3,4,4,3,3,4,1,4,4,4,4,2,2,3,2,2,1,1
R0115,Female,Managerial,SME (<500),Technology,Gulf,Full Deployment,2,4,3,4,3,4,3,4,3,4,3,3,3,2,4,1,2,4,4,4,3,4,3,5,2,2,1,3,3
R0116,Female,Operational,SME (<500),Technology,Europe,Pilot,9,4,4,4,4,4,3,3,4,5,4,3,4,2,3,3,2,2,3,2,2,2,1,2,2,3,2,1,4
R0117,Male,Operational,Large (>500),Other,Europe,Pilot,7,4,4,4,4,4,4,4,2,3,4,4,4,2,3,2,2,3,3,3,3,1,2,3,3,3,2,1,4
R0118,Female,Operational,Large (>500),Financial Services,North Africa,Early Exploration,17,4,3,4,3,4,2,4,4,3,5,3,4,3,3,3,3,3,5,2,3,3,3,1,3,4,3,2,2
R0119,Male,Managerial,Large (>500),Logistics,Gulf,Pilot,13,4,3,2,4,2,4,3,4,5,3,3,3,3,5,3,3,2,2,3,3,3,2,1,2,2,3,3,2
R0120,Female,Managerial,SME (<500),Other,North Africa,Pilot,19,3,4,3,5,4,3,4,3,3,4,3,4,3,4,3,1,2,2,2,3,3,3,2,3,1,2,2,2
R0121,Female,Managerial,Large (>500),Logistics,Gulf,Pilot,4,4,4,4,4,2,5,3,3,3,2,5,3,3,3,3,4,3,2,4,3,2,2,3,3,2,2,4,5
R0122,Male,Operational,SME (<500),Logistics,Gulf,Full Deployment,18,5,4,4,3,3,3,3,3,4,3,4,3,3,3,3,4,2,3,3,3,2,2,1,2,2,3,2,3
R0123,Female,Operational,SME (<500),Logistics,Gulf,Full Deployment,17,4,4,2,2,3,3,3,5,3,3,4,3,4,4,3,3,4,2,2,4,3,5,2,1,2,2,2,1
R0124,Female,Managerial,Large (>500),Financial Services,Gulf,Pilot,6,4,3,5,4,4,4,5,2,4,3,3,5,4,3,3,3,3,2,2,4,4,3,1,3,3,3,3,1
R0125,Male,Managerial,SME (<500),Manufacturing,Gulf,Full Deployment,2,3,3,4,4,4,3,4,4,4,3,4,4,2,4,2,4,2,3,4,3,3,1,3,1,3,2,3,1
R0126,Male,Managerial,Large (>500),Logistics,North Africa,Full Deployment,22,3,4,4,3,3,3,3,4,5,4,2,4,3,4,2,4,4,3,3,3,4,1,3,4,2,2,3,2
R0127,Male,Operational,Large (>500),Logistics,Gulf,Pilot,16,3,3,4,5,3,4,2,3,4,4,3,4,3,4,2,2,1,4,2,4,4,2,3,3,2,1,4,2
R0128,Female,Managerial,Large (>500),Logistics,Europe,Full Deployment,4,4,3,5,4,1,3,4,4,5,4,3,4,3,3,4,4,3,3,2,4,4,2,4,1,2,2,4,2
R0129,Male,Operational,SME (<500),Manufacturing,North Africa,Early Exploration,9,4,3,3,4,4,4,4,2,3,4,5,3,4,3,4,3,3,4,4,3,2,3,2,3,2,2,2,3
R0130,Male,Managerial,SME (<500),Manufacturing,Gulf,Early Exploration,19,4,3,4,3,3,5,3,3,3,3,4,3,3,3,3,3,3,2,3,3,2,2,2,4,4,2,3,2
R0131,Female,Managerial,SME (<500),Logistics,Europe,Early Exploration,17,4,5,4,4,5,4,3,3,4,3,4,3,3,3,3,2,1,4,3,3,3,1,2,2,2,3,2,3
R0132,Female,Managerial,Large (>500),Logistics,North Africa,Full Deployment,7,4,3,3,4,4,3,3,2,4,4,3,4,3,3,4,3,4,3,4,4,4,3,2,4,2,2,4,1
R0133,Female,Operational,SME (<500),Financial Services,North Africa,Full Deployment,17,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,2,1,3,1,3,4,2,2,3,2,3,4,2
R0134,Female,Operational,Large (>500),Other,North Africa,Pilot,15,3,3,3,4,4,3,4,3,3,3,2,3,3,3,3,2,2,4,5,4,3,4,3,2,3,2,1,2
R0135,Male,Operational,Large (>500),Other,North Africa,Early Exploration,3,3,2,4,4,3,4,4,4,4,4,2,3,2,3,3,1,2,2,3,2,4,3,1,2,2,1,1,1
R0136,Male,Operational,SME (<500),Logistics,Gulf,Pilot,25,3,4,3,3,3,3,3,4,3,3,4,3,4,3,3,3,4,3,2,4,4,2,3,2,1,2,3,3
R0137,Female,Managerial,SME (<500),Manufacturing,Gulf,Full Deployment,9,4,4,3,3,4,4,3,4,2,3,3,2,4,4,4,3,2,4,4,3,4,2,3,2,3,1,4,1
R0138,Male,Managerial,SME (<500),Other,Europe,Pilot,19,3,3,3,3,3,2,5,3,3,3,2,4,4,4,1,3,2,3,2,3,2,1,2,3,1,3,1,1
R0139,Female,Managerial,Large (>500),Manufacturing,North Africa,Pilot,23,4,3,3,3,3,4,3,3,3,5,2,2,3,4,4,3,3,4,3,1,3,3,4,2,4,1,4,3
